AC_TYPE_CODE,AC_PLATFORM_FAMILY,AC_PLATFORM,AC_TYPE,AC_VARIANT,AC_CATEGORY,AC_CLASS,AM_INCLUDE,AC_MANUFACTURER,AC_WARRANTY_PERIOD
3200,EMB110,EMB-110/120,EMB-110,EMB-110,Commercial Propeller,Turboprop Aircraft (Non-Business),1,Embraer,3
3215,EMB110,EMB-110/120,EMB-110P1/110P2/111A,EMB-110,Commercial Propeller,Turboprop Aircraft (Non-Business),1,Embraer,3
3244,DHC6,DHC-6,DHC-6-400 Twin Otter,DHC-6-400,Commercial Propeller,Turboprop Aircraft (Non-Business),0,Viking Air,3
3500,EMB120,EMB-110/120,EMB-120 Brasilia,EMB-120,Commercial Propeller,Turboprop Aircraft (Non-Business),1,Embraer,3
3505,EMB120,EMB-110/120,EMB-120FC Brasilia Frtr.,EMB-120,Commercial Propeller,Turboprop Aircraft (Non-Business),1,Embraer,3
3630,DHC8,DHC-8-1/2/300,DHC-8-100,DHC-8-100,Commercial Propeller,Turboprop Aircraft (Non-Business),1,de Havilland Canada,3
3631,DHC8,DHC-8-1/2/300,DHC-8-100(PF),DHC-8-100,Commercial Propeller,Turboprop Aircraft (Non-Business),1,de Havilland Canada,3
3635,DHC8,DHC-8-1/2/300,DHC-8-200,DHC-8-200,Commercial Propeller,Turboprop Aircraft (Non-Business),1,de Havilland Canada,3
3640,DHC8,DHC-8-1/2/300,DHC-8-300,DHC-8-300,Commercial Propeller,Turboprop Aircraft (Non-Business),1,de Havilland Canada,3
3641,DHC8,DHC-8-1/2/300,DHC-8-300(F)/(PF),DHC-8-300,Commercial Propeller,Turboprop Aircraft (Non-Business),1,de Havilland Canada,3
3650,DHC8,DHC-8-Q400,DHC-8-400,DHC-8-400 (Q400),Commercial Propeller,Turboprop Aircraft (Non-Business),1,Bombardier,3
3651,DHC8,DHC-8-Q400,DHC-8-400PF,DHC-8-400,Commercial Propeller,Turboprop Aircraft (Non-Business),1,Bombardier,3
3721,ATR,ATR 42,ATR 42-200,ATR 42 200,Commercial Propeller,Turboprop Aircraft (Non-Business),1,ATR,4
3722,ATR,ATR 42,ATR 42-300/320,ATR 42 300,Commercial Propeller,Turboprop Aircraft (Non-Business),1,ATR,4
3725,ATR,ATR 42,ATR 42-300F/320F,ATR 42 300,Commercial Propeller,Turboprop Aircraft (Non-Business),1,ATR,4
3728,ATR,ATR 42,ATR 42-400/400MP,ATR 42 400,Commercial Propeller,Turboprop Aircraft (Non-Business),1,ATR,4
3729,ATR,ATR 42,ATR 42-500,ATR 42 500,Commercial Propeller,Turboprop Aircraft (Non-Business),1,ATR,4
3730,ATR,ATR 42,ATR 42-600,ATR 42 600,Commercial Propeller,Turboprop Aircraft (Non-Business),1,ATR,4
3732,ATR,ATR 72,ATR 72-100/200,ATR 72 200,Commercial Propeller,Turboprop Aircraft (Non-Business),1,ATR,4
3735,ATR,ATR 72,ATR 72-500 (72-212A),ATR 72 500,Commercial Propeller,Turboprop Aircraft (Non-Business),1,ATR,4
3736,ATR,ATR 72,ATR 72-600 (72-212A),ATR 72 600,Commercial Propeller,Turboprop Aircraft (Non-Business),1,ATR,4
3737,ATR,ATR 72,ATR 72F,ATR72F,Commercial Propeller,Turboprop Aircraft (Non-Business),1,ATR,4
3738,ATR,ATR 72,ATR 72-500 (72-212A),ATR 72 500,Commercial Propeller,Turboprop Aircraft (Non-Business),1,ATR,4
3815,Y7,MA60/600,Y7-200A/Y7-G//MA60/MA600,MA60 / 600,Commercial Propeller,Turboprop Aircraft (Non-Business),1,Xian Aircraft Industry Company,4
3870,MA700,MA700,MA700,MA700,Commercial Propeller,Turboprop Aircraft (Non-Business),1,Xian Aircraft Industry Company,4
4220,DHC7,DHC-7,DHC-7-100,DHC-7-100,Commercial Propeller,Turboprop Aircraft (Non-Business),0,de Havilland Canada,3
6021,CRJ,CRJ 1/200,CRJ100/200/440,CRJ100,Commercial Jet,Regional Jet,1,Canadair,3
6022,CRJ,CRJ 1/200,CRJ200SF,CRJ200,Commercial Jet,Regional Jet,1,Canadair,3
6025,CRJ,CRJ 7/9/1000,CRJ701/702,CRJ700,Commercial Jet,Regional Jet,1,Bombardier,3
6026,CRJ,CRJ 7/9/1000,CRJ701/702SF,CRJ700,Commercial Jet,Regional Jet,1,Bombardier,3
6029,CRJ,CRJ 7/9/1000,NULL,CRJ705,Commercial Jet,Regional Jet,1,Bombardier,3
6033,CRJ,CRJ 7/9/1000,CRJ900,CRJ900,Commercial Jet,Regional Jet,1,Bombardier,3
6037,CRJ,CRJ 7/9/1000,CRJ1000,CRJ1000,Commercial Jet,Regional Jet,1,Bombardier,3
6040,E-Jet,ERJ-135/140/145,ERJ 135/ER/LR,ERJ-135,Commercial Jet,Regional Jet,1,Embraer,3
6043,E-Jet,ERJ-135/140/145,ERJ 140 (EMB-135KE/KL),ERJ-140,Commercial Jet,Regional Jet,1,Embraer,3
6045,E-Jet,ERJ-135/140/145,ERJ 145 (EMB-145),ERJ-145,Commercial Jet,Regional Jet,1,Embraer,3
6046,E-Jet,ERJ-135/140/145,ERJ 145(F) (EMB-145(F)),ERJ-145,Commercial Jet,Regional Jet,1,Embraer,3
6050,E-Jet,ERJ 170/190,Embraer 170,E170,Commercial Jet,Regional Jet,1,Embraer,3
6052,E-Jet,ERJ 170/190,Embraer 175,E175,Commercial Jet,Regional Jet,1,Embraer,3
6053,E-Jet,ERJ 170/190 E2,Embraer 175-E2,E175 E2,Commercial Jet,Regional Jet,1,Embraer,3
6055,E-Jet,ERJ 170/190,Embraer 190,E190,Commercial Jet,Regional Jet,1,Embraer,3
6056,E-Jet,ERJ 170/190 E2,Embraer 190-E2,E190 E2,Commercial Jet,Regional Jet,1,Embraer,3
6057,E-Jet,ERJ 170/190,Embraer 195,E195,Commercial Jet,Regional Jet,1,Embraer,3
6058,E-Jet,ERJ 170/190 E2,Embraer 195-E2,E195 E2,Commercial Jet,Regional Jet,1,Embraer,3
6059,E-Jet,ERJ 170/190,Embraer 190 Lineage,EMBRAER LINEAGE 1000 (ERJ 190-100 ECJ),Commercial Jet,Regional Jet,1,Embraer,3
6107,ARJ21,ARJ21,ARJ21,ARJ21-700,Commercial Jet,Regional Jet,1,COMAC,4
6174,MRJ,MRJ,MRJ90,MRJ90,Commercial Jet,Regional Jet,1,Mitsubishi,4
6210,DC9,DC-9,DC-9-10,DC-9-10,Commercial Jet,Narrowbody Jet,1,Douglas Aircraft,3
6211,DC9,DC-9,DC-9-10 Stage 3 Hushkit,DC-9-10,Commercial Jet,Narrowbody Jet,1,Douglas Aircraft,3
6215,DC9,DC-9,DC-9-10F,DC-9-10,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6216,DC9,DC-9,DC-9-10F Stage 3 Hushkit,DC-9-10,Commercial Jet,Narrowbody Jet,1,Douglas Aircraft,3
6220,DC9,DC-9,DC-9-20,DC-9-20,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6221,DC9,DC-9,DC-9-20 Stage 3 Hushkit,DC-9-20,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6230,DC9,DC-9,DC-9-30,DC-9-30,Commercial Jet,Narrowbody Jet,1,Douglas Aircraft,3
6231,DC9,DC-9,DC-9-30 Stage 3 Hushkit,DC-9-30,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6235,DC9,DC-9,DC-9-30F,DC-9-30,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6236,DC9,DC-9,DC-9-30F Stage 3 Hushkit,DC-9-30,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6240,DC9,DC-9,DC-9-40,DC-9-40,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6241,DC9,DC-9,DC-9-40 Stage 3 Hushkit,DC-9-40,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6250,DC9,DC-9,DC-9-50,DC-9-50,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6251,DC9,DC-9,DC-9-50 Stage 3 Hushkit,DC-9-50,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6261,DC9,MD-80,MD-81 (DC-9-81),DC-9-80,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6262,DC9,MD-80,MD-82 (DC-9-82),DC-9-80,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6263,DC9,MD-80,MD-83 (DC-9-83),DC-9-80,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6265,DC9,MD-80,MD-82F (DC-9-82F),DC-9-80,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
6266,DC9,MD-80,MD-83F (DC-9-83F),DC-9-80,Commercial Jet,Narrowbody Jet,1,McDonnell Douglas,3
